task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
28	5e/a65019	892521	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (Hs27_WT_1_IGO_14178_1_S125)	COMPLETED	0	2024-04-25 13:42:49.093	2m 40s	2m 39s	182.4%	3.6 MB	220.9 MB	15.3 GB	5.5 KB
26	56/813da3	892530	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (HS27_WT_2_IGO_14178_2_S126)	COMPLETED	0	2024-04-25 13:42:49.108	10m 16s	10m 16s	163.4%	5.5 MB	222.1 MB	14.4 GB	276.4 KB
30	1d/877fb0	892561	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (Hs27_WT_1_IGO_14178_1_S125)	COMPLETED	0	2024-04-25 13:42:49.139	11m 33s	11m 33s	162.8%	5.5 MB	222.3 MB	15.3 GB	277.2 KB
21	66/ce6388	862013	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (HS27_WT_2_IGO_14178_2_S126)	COMPLETED	0	2024-04-25 13:28:21.806	1h 24m 3s	1h 24m 2s	154.3%	26.6 GB	46.1 GB	39.8 GB	26.6 GB
37	ba/157a1d	56820	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (HS27_WT_2_IGO_14178_2_S126)	COMPLETED	0	2024-04-25 14:52:25.116	2m 21s	2m 20s	186.5%	107.7 MB	283.1 MB	15.7 GB	6.3 MB
45	c7/4cddad	73024	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (HS27_WT_2_IGO_14178_2_S126)	COMPLETED	0	2024-04-25 14:56:19.427	5.4s	5s	350.4%	60.8 MB	10.6 GB	98 MB	877 B
44	63/2c0bb0	73048	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INNERDISTANCE (HS27_WT_2_IGO_14178_2_S126)	COMPLETED	0	2024-04-25 14:56:19.451	52.8s	53s	141.6%	902.3 MB	11.5 GB	222.9 MB	63.9 MB
23	2b/9be9a4	884769	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (Hs27_WT_1_IGO_14178_1_S125)	COMPLETED	0	2024-04-25 13:40:26.000	1h 26m 2s	1h 26m 1s	153.2%	30.1 GB	45.8 GB	42.8 GB	28.9 GB
39	ce/16a060	56827	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (HS27_WT_2_IGO_14178_2_S126)	COMPLETED	0	2024-04-25 14:52:25.125	16m 5s	16m 5s	129.3%	1.1 GB	1.3 GB	17.2 GB	683.4 MB
50	12/193e27	138408	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (Hs27_WT_1_IGO_14178_1_S125)	COMPLETED	0	2024-04-25 15:06:28.128	2m 54s	2m 54s	183.6%	103.7 MB	270.5 MB	16.6 GB	6.4 MB
46	85/45e5b1	73015	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONANNOTATION (HS27_WT_2_IGO_14178_2_S126)	COMPLETED	0	2024-04-25 14:56:19.422	15m 1s	15m	101.8%	160.9 MB	10.8 GB	15.8 GB	113.5 MB
56	0e/b90d91	170627	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INNERDISTANCE (Hs27_WT_1_IGO_14178_1_S125)	COMPLETED	0	2024-04-25 15:11:20.223	54.8s	54s	144.9%	902.4 MB	11.5 GB	226.1 MB	64.4 MB
48	47/48465c	72999	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_BAMSTAT (HS27_WT_2_IGO_14178_2_S126)	COMPLETED	0	2024-04-25 14:56:19.397	17m 35s	17m 35s	98.9%	36.1 MB	10.6 GB	15.7 GB	1.4 KB
60	26/a6a520	189452	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (Hs27_WT_1_IGO_14178_1_S125)	COMPLETED	0	2024-04-25 15:13:54.531	5.5s	4s	459.3%	60.8 MB	10.6 GB	99.3 MB	877 B
62	e6/8e5097	190817	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (HS27_WT_2_IGO_14178_2_S126)	COMPLETED	0	2024-04-25 15:14:00.365	1s	1s	88.6%	3 MB	12 MB	7.2 MB	9.1 KB
